"Table S2 Zricon composation of igneous rocks from diferent phases of the Guichon Greek batholith in the highland valley porphyry copper district, Canada",,,,,,,,,,,,,,,,,,,,,,,
Sample No.,Rock type,Zricon ID,Age,Ti,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,Ce_zhong,Eu_zhong,Eu_Zhong/Y,Ce/Nd,(Ce/Nd)/Y
SM059,Guichon sub-facies,RLP2L2-2A,210.77,11.2,11.79,1.45,3.45,0.79,17.17,5.56,66.9,24.32,111.5,23.55,211.1,43.66,745,9890,172.793979,0.294411215,0.000395183,8.131034483,0.01091414
SM059,Guichon sub-facies,RLP2L2-2B,210.77,14,11.79,0.46,1.4,0.353,7.78,2.85,37,14.56,71.8,16.1,151.1,31.7,456,10078,883.2517787,0.296157468,0.000649468,25.63043478,0.056207094
SM059,Guichon sub-facies,RLP2L2-3,210.77,11,14.58,3.61,6.31,1.06,24.8,7.91,90.5,32.09,147.2,31.47,275.1,56.2,978,10030,68.30182086,0.230513925,0.000235699,4.038781163,0.004129633
SM059,Guichon sub-facies,RLP2L2-4,210.77,8.9,9.49,0.31,1.12,0.223,6.51,2.47,33.7,12.84,65.5,15.3,139,30.6,416,10870,1206.860748,0.232815791,0.000559653,30.61290323,0.07358871
SM059,Guichon sub-facies,RLP2L2-5,210.77,16.8,15.01,4.78,7.48,1.45,29.4,8.67,103,36.3,166.7,34.4,294,60.2,1093,9470,49.16274496,0.264373578,0.000241879,3.140167364,0.00287298
SM059,Guichon sub-facies,RLP2L2-8A,210.77,10.7,11.71,1.54,3.27,0.8,16,4.94,60.8,22.2,104.2,21.9,195.5,40.2,670,10070,160.5402794,0.310432649,0.000463332,7.603896104,0.011349099
SM059,Guichon sub-facies,RLP2L2-8B,210.77,10.2,12.74,0.93,2.04,0.364,12.68,4.11,53.5,20.03,96.7,21.17,191.3,39.72,605.3,9920,403.5253047,0.192084707,0.000317338,13.69892473,0.022631629
SM059,Guichon sub-facies,RLP2L2-9,210.77,15,15.62,5.05,7.62,1.32,29.7,9.09,104.8,37.12,175.4,35.78,306.6,62.9,1123,9496,49.56853633,0.232611503,0.000207134,3.093069307,0.002754291
SM059,Guichon sub-facies,RLP2L2-10,210.77,14,12.01,0.57,1.17,0.303,7.88,2.69,35.41,13.51,66.7,14.72,136,28.84,421.4,10050,737.4158558,0.254224551,0.000603286,21.07017544,0.050000416
SM059,Guichon sub-facies,RLP2L2-11,210.77,7.5,13.17,1.22,2.52,0.514,13.6,4.71,62.1,23.3,115.5,24.9,227,47.9,727,11020,323.4295449,0.22526446,0.000309855,10.79508197,0.014848806
SM059,Guichon sub-facies,RLP2L2-12,210.77,13,12.91,1.42,3.36,0.647,16.4,5.12,63,23.1,112,23.3,209,42.6,723,10090,198.707205,0.249957939,0.000345723,9.091549296,0.012574757
SM059,Guichon sub-facies,RLP2L2-13,210.77,11.1,12.67,2.07,4.39,0.85,20.4,6.05,74,26.3,122,25,227,44.6,804,9590,112.6984234,0.259023949,0.000322169,6.120772947,0.007612902
SM059,Guichon sub-facies,RLP2L2-14,210.77,14.6,13.53,3.64,6.41,1.17,25.2,6.85,83.1,29.3,133.8,27.7,242,49.1,890,9360,55.90319188,0.263920844,0.00029654,3.717032967,0.004176442
SM059,Guichon sub-facies,RLP2L2-15,210.77,17.2,15.32,4.15,7.31,1.46,30,8.75,104.3,37.7,171.3,34.8,302,60.8,1147,8940,59.14971945,0.27520864,0.000239938,3.691566265,0.003218454
SM059,Guichon sub-facies,RLP2L2-16,210.77,11.5,13.83,3.07,4.94,0.91,23.6,6.78,82.4,29.05,136.6,28.64,248.3,50.91,907.7,9490,82.60629785,0.228150757,0.00025135,4.504885993,0.004962968
SM059,Guichon sub-facies,RLP2L2-17,210.77,13.2,11.61,0.69,1.82,0.34,9.54,3.15,40.7,15.97,78.3,17.58,165.1,34.29,507.1,9570,506.9400632,0.227254356,0.000448145,16.82608696,0.033181004
SB217,Bethsaida facies,RLP2L3-1A,208.81,5.2,11.34,0.69,1.71,0.76,12.73,4.54,61,26.04,138.1,34,359,84.5,882,8280,970.0018652,0.408072714,0.000462667,16.43478261,0.01863354
SB217,Bethsaida facies,RLP2L3-1B,208.81,2.8,24.8,0.46,1.46,0.7,12.15,4.78,69.4,30.5,168.7,43.25,466.8,108.1,1050,10080,4456.229086,0.412318428,0.000392684,53.91304348,0.051345756
SB217,Bethsaida facies,RLP2L3-2B,208.81,2.9,13.08,0.312,0.93,0.452,7.75,2.66,40.1,16.93,92.9,23.64,261,60.9,590.1,9930,3088.964943,0.432256753,0.000732514,41.92307692,0.071044021
SB217,Bethsaida facies,RLP2L3-4,208.81,3.5,9.65,0.28,1.07,0.427,7.96,2.82,38.2,17.12,88.3,23.37,256.8,59.4,590,9740,2255.330384,0.408281299,0.000692002,34.46428571,0.058414044
SB217,Bethsaida facies,RLP2L3-5,208.81,3.2,13.58,0.33,1.07,0.415,8.02,3.21,45.7,20.42,111,29.6,328.7,76.9,720,9590,3375.783268,0.352545192,0.000489646,41.15151515,0.057154882
SB217,Bethsaida facies,RLP2L3-6,208.81,1.98,21.91,0.41,1.48,0.543,10.99,3.91,59.6,27.17,146.1,38.15,426.4,97,942,10050,4164.357174,0.354344533,0.000376162,53.43902439,0.056729325
SB217,Bethsaida facies,RLP2L3-7A,208.81,3.5,17.83,0.53,2.05,0.72,12.63,4.85,68.8,30.44,159.8,41.29,456.6,103.6,1066,9300,2176.042389,0.381693725,0.000358062,33.64150943,0.031558639
SB217,Bethsaida facies,RLP2L3-7B,208.81,2.2,11.82,0.44,1.4,0.495,8.76,3.25,45.8,19.53,104.3,27.29,306.1,70.6,701,9230,1703.226506,0.368064325,0.000525056,26.86363636,0.038321878
